consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,Multicast,3702,UDP,Allowed,Allowed,Provider,2021-07-16T00:45:02Z,2021-07-16T11:32:59Z,20
WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T05:46:31Z,2021-07-16T07:14:35Z,8
WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T00:26:19Z,2021-07-16T19:25:02Z,12
WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,Unicast,5357,TCP,Allowed,Allowed,Consumer,2021-07-16T07:16:21Z,2021-07-16T07:59:14Z,6
WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,WORKSTATION | HELP DESK | PROD | ON PREgIOM,HELP DESK,PROD,ON PREgIOM,Unicast,5357,TCP,Allowed,Allowed,Provider,2021-07-16T00:44:57Z,2021-07-16T11:32:55Z,24
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Multicast,1900,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:07Z,2021-07-16T23:51:20Z,126495
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Multicast,3702,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:02Z,2021-07-16T23:48:54Z,3859
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Multicast,5353,UDP,Allowed,Allowed,Provider,2021-07-16T00:11:20Z,2021-07-16T22:17:11Z,155
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,0,ICMP,Allowed,Allowed,Provider,2021-07-16T01:02:41Z,2021-07-16T23:46:08Z,213
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Consumer,2021-07-16T18:54:56Z,2021-07-16T21:25:33Z,4
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Provider,2021-07-16T01:15:59Z,2021-07-16T21:24:48Z,90
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T09:05:59Z,2021-07-16T21:29:58Z,85
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T01:02:41Z,2021-07-16T23:46:08Z,322
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,7680,TCP,Allowed,Allowed,Consumer,2021-07-16T00:00:11Z,2021-07-16T23:51:20Z,6307
WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Unicast,7680,TCP,Allowed,Allowed,Provider,2021-07-16T00:02:46Z,2021-07-16T23:44:24Z,4794
