consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_subnet,provider_iplist,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.0.1.0,RFC1918; IPL-RFC_1918,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T00:01:31Z,2021-07-16T21:49:34Z,27
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T03:43:20Z,2021-07-16T23:10:44Z,47
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.220.0,RFC1918; IPL-RFC_1918,Unicast,1514,UDP,Allowed,Allowed,Consumer,2021-07-16T01:40:19Z,2021-07-16T23:39:35Z,22
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:37:17Z,2021-07-16T23:47:48Z,1765
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:36:30Z,2021-07-16T23:39:57Z,134
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:26:16Z,2021-07-16T22:31:46Z,36
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,13.56.121.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:41:07Z,2021-07-16T07:22:49Z,5
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:32:34Z,2021-07-16T23:22:57Z,16
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,50.18.194.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:29:26Z,2021-07-16T19:23:22Z,15
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,54.241.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:26:09Z,2021-07-16T22:00:01Z,15
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,64.39.104.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:04:20Z,2021-07-16T23:36:26Z,91
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T02:32:15Z,2021-07-16T23:31:13Z,170
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:25:22Z,2021-07-16T23:12:33Z,21
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,10.51.61.0,DHCP Pool; RFC1918; IPL-RFC_1918,Unicast,6262,TCP,Allowed,Allowed,Consumer,2021-07-16T00:05:01Z,2021-07-16T23:31:22Z,1128
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,13.107.42.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T15:48:10Z,2021-07-16T15:49:25Z,21
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,13.107.5.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T01:29:10Z,2021-07-16T21:29:08Z,5
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,13.56.121.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:58:21Z,2021-07-16T07:27:53Z,4
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,147.249.37.0,IPL-INTERNET; Non-RFC1918,Unicast,4800,TCP,Allowed,Allowed,Consumer,2021-07-16T02:40:05Z,2021-07-16T23:31:34Z,127
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,147.249.37.0,IPL-INTERNET; Non-RFC1918,Unicast,4811,TCP,Allowed,Allowed,Consumer,2021-07-16T04:47:34Z,2021-07-16T07:39:33Z,4
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,20.197.71.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:29:07Z,2021-07-16T19:29:08Z,17
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:04:44Z,2021-07-16T23:14:29Z,17
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,239.255.255.0,IPL-MULTICAST; Non-RFC1918,Multicast,1900,UDP,Allowed,Allowed,Consumer,2021-07-16T00:15:28Z,2021-07-16T21:15:27Z,12
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,40.77.226.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T16:27:05Z,2021-07-16T21:57:05Z,8
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,52.114.133.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:57:05Z,2021-07-16T23:27:05Z,16
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,52.140.118.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T08:30:18Z,2021-07-16T08:30:18Z,4
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,52.8.141.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:39:41Z,2021-07-16T07:37:25Z,4
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,54.183.140.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:25:22Z,2021-07-16T19:19:20Z,15
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,54.183.142.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:28:15Z,2021-07-16T19:28:24Z,17
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,64.39.104.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:01:12Z,2021-07-16T23:18:44Z,98
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:02:57Z,2021-07-16T22:53:26Z,17
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,10.51.43.0,RFC1918; IPL-RFC_1918,Unicast,161,TCP,Allowed,Allowed,Consumer,2021-07-16T00:01:31Z,2021-07-16T23:21:33Z,1761
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,10.51.43.0,RFC1918; IPL-RFC_1918,Unicast,161,UDP,Allowed,Allowed,Consumer,2021-07-16T00:06:46Z,2021-07-16T23:16:53Z,227
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,10.51.6.0,DHCP Pool; RFC1918; IPL-RFC_1918,Unicast,6163,TCP,Allowed,Allowed,Consumer,2021-07-16T00:05:27Z,2021-07-16T23:24:42Z,2728
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T04:30:49Z,2021-07-16T23:00:58Z,13
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,54.183.140.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:02:55Z,2021-07-16T19:32:41Z,13
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T19:51:35Z,2021-07-16T22:57:23Z,4
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,239.192.99.0,IPL-MULTICAST; Non-RFC1918,Multicast,0,IGMP,Potentially Blocked,Potentially Blocked,Consumer,2021-07-16T00:06:04Z,2021-07-16T23:23:10Z,204
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,255.255.255.0,Non-RFC1918,Broadcast,1947,UDP,Allowed,Allowed,Consumer,2021-07-16T00:27:06Z,2021-07-16T23:13:28Z,28
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,54.183.140.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:08:01Z,2021-07-16T19:37:06Z,15
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,64.39.104.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:45:36Z,2021-07-16T23:18:04Z,98
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T02:41:59Z,2021-07-16T23:21:09Z,430
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:44:32Z,2021-07-16T23:22:36Z,1045
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:42:37Z,2021-07-16T23:23:07Z,111
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,12.181.163.0,IPL-INTERNET; Non-RFC1918,Unicast,8089,TCP,Allowed,Allowed,Consumer,2021-07-16T00:02:05Z,2021-07-16T23:22:10Z,1664
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,12.181.163.0,IPL-INTERNET; Non-RFC1918,Unicast,9997,TCP,Allowed,Allowed,Consumer,2021-07-16T00:22:17Z,2021-07-16T23:23:04Z,1835
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,13.56.121.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:57:23Z,2021-07-16T07:25:14Z,4
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,199.250.248.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:22:19Z,2021-07-16T19:20:19Z,13
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:37:31Z,2021-07-16T07:22:10Z,4
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,239.192.99.0,IPL-MULTICAST; Non-RFC1918,Multicast,0,IGMP,Potentially Blocked,Potentially Blocked,Consumer,2021-07-16T00:02:03Z,2021-07-16T23:23:08Z,277
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,34.203.111.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:43:35Z,2021-07-16T23:23:08Z,392
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,52.8.141.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:40:38Z,2021-07-16T07:19:34Z,4
APPLICATION | CZZRBONITE | TEST | ON PREgIOM,CZZRBONITE,TEST,ON PREgIOM,54.183.142.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:28:10Z,2021-07-16T07:25:34Z,8
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.27.1.0,RFC1918; IPL-RFC_1918,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T00:19:18Z,2021-07-16T23:22:01Z,108
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T03:48:08Z,2021-07-16T22:49:50Z,33
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.51.200.0,RFC1918; IPL-RFC_1918,Unicast,514,UDP,Allowed,Allowed,Consumer,2021-07-16T00:08:12Z,2021-07-16T23:08:51Z,24
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:42:50Z,2021-07-16T23:42:41Z,925
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:41:08Z,2021-07-16T23:35:54Z,130
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,15000,TCP,Allowed,Allowed,Consumer,2021-07-16T00:08:31Z,2021-07-16T23:43:00Z,590
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,115.70.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T16:21:41Z,2021-07-16T16:21:41Z,5
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,115.70.197.0,IPL-INTERNET; Non-RFC1918,Unicast,1234,UDP,Allowed,Allowed,Consumer,2021-07-16T00:24:46Z,2021-07-16T23:36:25Z,176
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,115.70.197.0,IPL-INTERNET; Non-RFC1918,Unicast,1235,UDP,Allowed,Allowed,Consumer,2021-07-16T00:24:46Z,2021-07-16T22:56:09Z,37
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,115.70.197.0,IPL-INTERNET; Non-RFC1918,Unicast,3377,TCP,Allowed,Allowed,Consumer,2021-07-16T02:35:39Z,2021-07-16T23:36:25Z,119
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,220.233.31.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T11:21:32Z,2021-07-16T11:21:32Z,4
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,3.15.27.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T04:02:22Z,2021-07-16T07:16:39Z,13
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,34.203.111.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:41:58Z,2021-07-16T23:39:15Z,301
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,38.91.40.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:39:56Z,2021-07-16T23:38:05Z,226
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,52.188.11.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:39:57Z,2021-07-16T23:38:06Z,253
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,54.183.142.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:04:50Z,2021-07-16T19:34:25Z,19
APPLICATION | DOCPLUS | TEST | ON PREgIOM,DOCPLUS,TEST,ON PREgIOM,64.39.104.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:38:42Z,2021-07-16T23:43:02Z,114
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.0.1.0,RFC1918; IPL-RFC_1918,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T00:20:50Z,2021-07-16T23:35:33Z,113
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T02:41:59Z,2021-07-16T23:39:27Z,437
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.51.220.0,RFC1918; IPL-RFC_1918,Unicast,1514,UDP,Allowed,Allowed,Consumer,2021-07-16T01:51:32Z,2021-07-16T23:23:52Z,11
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:44:39Z,2021-07-16T23:39:27Z,1097
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:50:06Z,2021-07-16T23:28:42Z,86
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:28:54Z,2021-07-16T21:10:34Z,38
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,115.70.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T08:49:25Z,2021-07-16T18:48:30Z,12
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:04:36Z,2021-07-16T23:28:52Z,15
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,216.252.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:15:57Z,2021-07-16T23:36:04Z,277
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,220.233.31.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T13:48:26Z,2021-07-16T13:48:26Z,4
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,239.192.99.0,IPL-MULTICAST; Non-RFC1918,Multicast,0,IGMP,Allowed,Allowed,Consumer,2021-07-16T00:05:53Z,2021-07-16T23:29:52Z,235
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,239.192.99.0,IPL-MULTICAST; Non-RFC1918,Multicast,0,IGMP,Potentially Blocked,Potentially Blocked,Consumer,2021-07-16T00:01:56Z,2021-07-16T23:38:55Z,280
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,239.255.255.0,IPL-MULTICAST; Non-RFC1918,Multicast,0,IGMP,Allowed,Allowed,Consumer,2021-07-16T00:03:57Z,2021-07-16T23:27:47Z,241
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,239.255.255.0,IPL-MULTICAST; Non-RFC1918,Multicast,1900,UDP,Allowed,Allowed,Consumer,2021-07-16T06:17:55Z,2021-07-16T18:17:34Z,4
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,34.203.111.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:48:17Z,2021-07-16T23:35:31Z,319
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,38.91.40.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:43:48Z,2021-07-16T23:36:03Z,253
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,40.119.249.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:40:52Z,2021-07-16T07:41:00Z,5
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,40.77.226.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T18:17:54Z,2021-07-16T21:56:36Z,6
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,52.114.133.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:27:24Z,2021-07-16T23:27:25Z,19
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,52.8.141.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:45:11Z,2021-07-16T07:36:00Z,4
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,54.183.120.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:48:49Z,2021-07-16T07:20:26Z,5
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,54.241.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:28:46Z,2021-07-16T19:28:51Z,25
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,66.203.112.0,IPL-INTERNET; Non-RFC1918,Unicast,1234,UDP,Allowed,Allowed,Consumer,2021-07-16T00:12:59Z,2021-07-16T23:01:05Z,39
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,66.203.112.0,IPL-INTERNET; Non-RFC1918,Unicast,1235,UDP,Allowed,Allowed,Consumer,2021-07-16T00:12:59Z,2021-07-16T23:31:12Z,201
APPLICATION | DONOMZZ | PROD | ON PREgIOM,DONOMZZ,PROD,ON PREgIOM,66.203.112.0,IPL-INTERNET; Non-RFC1918,Unicast,3377,TCP,Allowed,Allowed,Consumer,2021-07-16T02:44:49Z,2021-07-16T23:31:41Z,148
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T02:50:26Z,2021-07-16T23:18:41Z,95
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,10.51.220.0,RFC1918; IPL-RFC_1918,Unicast,1514,UDP,Allowed,Allowed,Consumer,2021-07-16T00:21:00Z,2021-07-16T23:08:28Z,22
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:40:55Z,2021-07-16T23:46:02Z,1867
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:38:00Z,2021-07-16T23:44:17Z,194
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:27:11Z,2021-07-16T23:03:13Z,17
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:07:32Z,2021-07-16T22:52:58Z,10
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,229.111.112.0,IPL-MULTICAST; Non-RFC1918,Multicast,3071,UDP,Allowed,Allowed,Consumer,2021-07-16T00:08:35Z,2021-07-16T23:30:51Z,282
APPLICATION | EMPOWER | PROD | ON PREgIOM,EMPOWER,PROD,ON PREgIOM,34.203.111.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T02:37:32Z,2021-07-16T23:46:32Z,553
