consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Provider,2021-07-16T00:09:56Z,2021-07-16T23:11:56Z,150
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Consumer,2021-07-16T02:39:29Z,2021-07-16T23:25:38Z,490
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Provider,2021-07-16T00:09:56Z,2021-07-16T23:24:38Z,538
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Consumer,2021-07-16T04:00:56Z,2021-07-16T23:12:57Z,182
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Provider,2021-07-16T00:09:56Z,2021-07-16T23:11:57Z,253
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Consumer,2021-07-16T02:39:09Z,2021-07-16T23:39:35Z,190
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Provider,2021-07-16T00:09:55Z,2021-07-16T23:24:38Z,258
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T02:39:02Z,2021-07-16T23:39:02Z,510
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T00:09:56Z,2021-07-16T23:33:02Z,521
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,3268,TCP,Allowed,Allowed,Consumer,2021-07-16T18:06:38Z,2021-07-16T18:21:47Z,8
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,3268,TCP,Allowed,Allowed,Provider,2021-07-16T18:05:38Z,2021-07-16T18:20:47Z,8
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Consumer,2021-07-16T03:01:05Z,2021-07-16T23:20:12Z,99
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Provider,2021-07-16T00:09:56Z,2021-07-16T23:19:12Z,110
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Consumer,2021-07-16T02:42:24Z,2021-07-16T23:28:34Z,471
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Provider,2021-07-16T00:11:22Z,2021-07-16T23:27:34Z,453
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T00:28:43Z,2021-07-16T19:28:26Z,17
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,FOLDER REDIRECT | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T00:04:34Z,2021-07-16T23:29:35Z,155
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,FOLDER REDIRECT | MULTI ZZPP | PROD | ON PREgIOM,MULTI ZZPP,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T00:29:02Z,2021-07-16T19:29:03Z,68
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,FOLDER REDIRECT | MULTI ZZPP | PROD | ON PREgIOM,MULTI ZZPP,PROD,ON PREgIOM,Unicast,445,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:25:12Z,2021-07-16T19:17:25Z,60
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,JUMPBOX | VENDOR | PROD | ON PREgIOM,VENDOR,PROD,ON PREgIOM,Multicast,1900,UDP,Allowed,Allowed,Provider,2021-07-16T00:15:34Z,2021-07-16T21:15:33Z,48
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T02:39:40Z,2021-07-16T23:40:05Z,130
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:03:33Z,2021-07-16T23:24:35Z,173
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,10123,TCP,Allowed,Allowed,Consumer,2021-07-16T04:39:05Z,2021-07-16T07:39:07Z,20
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,10123,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:20:46Z,2021-07-16T19:23:20Z,12
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,APPLICATION | INTERMZZPPER | PROD | ON PREgIOM,INTERMZZPPER,PROD,ON PREgIOM,Unicast,0,ICMP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:08:18Z,2021-07-16T23:39:46Z,161
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,TCP,Allowed,Allowed,Consumer,2021-07-16T18:36:28Z,2021-07-16T22:36:29Z,5
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,TCP,Allowed,Allowed,Provider,2021-07-16T00:36:26Z,2021-07-16T23:36:29Z,24
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T02:53:40Z,2021-07-16T23:12:48Z,324
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Provider,2021-07-16T00:06:45Z,2021-07-16T23:37:12Z,377
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Consumer,2021-07-16T03:22:09Z,2021-07-16T17:29:32Z,26
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Provider,2021-07-16T00:51:47Z,2021-07-16T23:36:29Z,38
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Consumer,2021-07-16T21:19:35Z,2021-07-16T22:53:38Z,4
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Provider,2021-07-16T00:04:16Z,2021-07-16T23:01:56Z,29
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Consumer,2021-07-16T10:34:26Z,2021-07-16T22:53:38Z,28
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Provider,2021-07-16T00:04:16Z,2021-07-16T22:53:38Z,90
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Consumer,2021-07-16T03:36:19Z,2021-07-16T22:53:37Z,54
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Provider,2021-07-16T00:01:48Z,2021-07-16T23:36:29Z,90
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T04:37:09Z,2021-07-16T14:52:11Z,34
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T00:07:08Z,2021-07-16T23:22:12Z,109
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,3268,TCP,Allowed,Allowed,Provider,2021-07-16T18:21:17Z,2021-07-16T18:21:17Z,4
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Consumer,2021-07-16T15:21:54Z,2021-07-16T21:19:35Z,9
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Provider,2021-07-16T00:04:16Z,2021-07-16T23:01:56Z,29
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,PATCH MGMT | IST WSUS | PROD | ON PREgIOM,IST WSUS,PROD,ON PREgIOM,Unicast,8530,TCP,Allowed,Allowed,Provider,2021-07-16T00:14:06Z,2021-07-16T22:16:14Z,4
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T18:21:17Z,2021-07-16T22:38:50Z,9
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,80,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T01:31:17Z,2021-07-16T22:39:20Z,22
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,PATCH MGMT | SOLZZRWINDS | PROD | ON PREgIOM,SOLZZRWINDS,PROD,ON PREgIOM,Unicast,10123,TCP,Allowed,Allowed,Consumer,2021-07-16T05:34:44Z,2021-07-16T07:35:01Z,8
APPLICATION | CISCO FOUNDZZTION | PROD | ON PREgIOM,CISCO FOUNDZZTION,PROD,ON PREgIOM,SQL A | PO | PROD | ON PREgIOM,PO,PROD,ON PREgIOM,Unicast,6161,TCP,Allowed,Allowed,Consumer,2021-07-16T00:05:17Z,2021-07-16T23:25:05Z,2728
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T02:39:12Z,2021-07-16T23:17:34Z,463
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:38Z,2021-07-16T23:40:25Z,486
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Consumer,2021-07-16T11:56:33Z,2021-07-16T21:16:46Z,20
APPLICATION | CZZR | PROD | ON PREgIOM,CZZR,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Provider,2021-07-16T00:45:38Z,2021-07-16T21:15:46Z,37
